Luas Lahan (m2),Nama Perusahaan,Blok,Alamat,Kawasan,Jenis Industri,Kategori Industri,Negara Investasi,Jenis Bangunan
,MAXIMA MANDIRI INDONUSA,WW5 C 05,Jl. Niaga Timur 1,2,Specialty steels distribution and value-added service,Trading,Indonesia,BIZ
311,XAJERIKO ABADI SEJAHTERA,B 5 C 3,Jl. Science Timur 3,5,"Rucika, tekiro, nippon paint, ondakitz, bridgestone, kansih paint, togawa, NCR, nippon resibon, nachi, schneider",Material Bangunan,Indonesia,SIB
379,PRATAMA GRAHA SEMESTA,WW5 01,Jl. Niaga Timur 3,2,Industri ringan/perakitan (Distributor),Trading,Indonesia,SIB
302,SUPER RENTAL INDONESIA,WW 5 C 01,Jl. Industri Timur Raya,2,Rental forklift,Jasa,Indonesia,BIZ
429,YAMAZAKI COOLTECH INDONESIA,WW 5 C 11,Jl. Niaga Timur 1,2,Industri non woven (bukan tenunan),Tekstil,Japan,BIZ
1058,MAHARDHIKA SAMUDERA SEJAHTERA,WW5 07,Jl. Industri Timur Raya,2,Jasa penggantian katalis,Jasa,Indonesia,TOB
395,HARUMA FUJI INDONESIA,WW5 03,Jl. Niaga Timur 3,2,,Others,Indonesia,SIB
311,CHARISLINK METAL NUSANTARA,B 5 C 8,Jl. Science Timur 3,5,Kawat las,Metal Fabrication,Indonesia,SIB
2600,NEXFACTORY ERA XCELLENCE,A 8 K,Jl. Tekno 3,3,"Perlengkapan komputer, alat ukur dan alat uji elektronik",Elektronik,Singapore,SFB
,KIMPAI DYNA TUBE,E 18 L,Jl. Jababeka IX,1,Laminated plastic,Plastik,South Korea,Kavling
16500,RAPID PLAST INDONESIA,E 18 L,Jl. Jababeka IX,1,Industri barang dari plastik untuk pengemasan (Tube),Plastik,Indonesia,Kavling
2978,ELECTRON PARTS TECHNOLOGY INDONESIA,B 1,Jl. Samsung 1,UKM,"Industri barang plastik lainnya yltd, industri peralatan umum",Plastik,South Korea,SFB
5054,WANGSA AUTO INDUSTRY,I 1 C,Jl. Tekno Boulevard,3,Assembling,Otomotif,Indonesia,Kavling
